;Ordem;Estacao;Lat;Lon;Hora;Secchi
0;1;st1;-28.495191;-48.75324;14:44;125.0
1;2;st2;-28.496576;-48.759543;14:53;110.0
2;3;st3;-28.501429;-48.772616;15:00;100.0
3;4;st4;-28.513133;-48.808737;15:07;100.0
4;5;st5;-28.506856;-48.797201;15:13;100.0
5;6;st6;-28.499238;-48.786512;15:19;80.0
6;7;st7;-28.478801;-48.791544;15:26;70.0
7;8;st8;-28.482447;-48.794307;15:42;70.0
8;9;st9;-28.491002;-48.806651;15:51;40.0
9;10;st10;-28.462787;-48.804977;16:01;100.0
10;11;st11;-28.469858;-48.810978;16:10;115.0
11;12;st12;-28.474591;-48.823625;16:20;120.0
12;13;st13;-28.497268;-48.83225;16:28;100.0
13;14;st14;-28.450671;-48.821951;16:37;110.0
14;15;st15;-28.457497;-48.831837;16:53;60.0
15;16;st16;-28.46321;-48.845545;17:11;
16;17;st17;-28.44227;-48.840621;17:28;
17;18;st18;-28.42399;-48.833888;17:40;
18;19;st19;-28.433828;-48.82495;17:46;
19;20;st20;-28.429048;-48.830182;17:57;
